timestamp,real_temp,real_hum,predicted_temp,predicted_hum
2025-09-18 05:47:35.436570,23.40,62.90,24.08,67.85
2025-09-18 05:47:37.696544,23.40,62.90,24.08,67.85
2025-09-18 05:47:39.953433,23.30,62.70,24.08,67.85
2025-09-18 05:47:42.212490,23.40,62.80,24.08,67.85
2025-09-18 05:47:44.472524,23.30,62.70,24.08,67.85
2025-09-18 05:47:46.729423,23.40,62.90,24.08,67.85
2025-09-18 05:47:48.988491,23.40,62.60,24.08,67.85
2025-09-18 05:47:51.245465,23.30,62.90,24.08,67.85
2025-09-18 05:47:53.504711,23.30,62.90,24.08,67.85
2025-09-18 05:47:58.012832,23.30,63.20,24.08,67.85
2025-09-18 05:48:00.269976,23.30,63.10,24.08,67.85
2025-09-18 05:48:02.526823,23.40,62.90,24.08,67.85
2025-09-18 05:48:07.039889,23.30,63.00,24.08,67.85
2025-09-18 05:48:09.296862,23.40,63.20,24.08,67.85
2025-09-18 05:48:13.810930,23.40,63.10,24.08,67.85
2025-09-18 05:48:18.319506,23.30,63.00,24.08,67.85
2025-09-18 05:48:20.576409,23.30,62.60,24.08,67.85
2025-09-18 05:48:22.853528,23.30,62.70,24.08,67.85
2025-09-18 05:48:25.111048,23.40,62.90,24.08,67.85
2025-09-18 05:48:29.618893,23.40,62.30,24.08,67.85
2025-09-18 05:48:34.130491,23.30,62.80,24.08,67.85
2025-09-18 05:48:36.387352,23.40,62.80,24.08,67.85
2025-09-18 05:48:38.644381,23.30,63.00,24.08,67.85
2025-09-18 05:48:43.153043,23.40,62.90,24.08,67.85
2025-09-18 05:48:45.410426,23.40,62.70,24.08,67.85
2025-09-18 05:48:47.668233,23.40,62.60,24.08,67.85
2025-09-18 05:48:49.925248,23.30,62.70,24.08,67.85
2025-09-18 05:48:52.182368,23.30,62.90,24.08,67.85
2025-09-18 05:48:56.690898,23.30,63.00,24.08,67.85
2025-09-18 05:48:58.948238,23.30,62.50,24.08,67.85
2025-09-18 05:49:01.205343,23.30,62.90,24.08,67.85
2025-09-18 05:49:03.465056,23.40,63.30,24.08,67.85
2025-09-18 05:49:05.722293,23.40,62.90,24.08,67.85
2025-09-18 05:49:07.979640,23.40,62.50,24.08,67.85
2025-09-18 05:49:12.487648,23.30,62.80,24.08,67.85
2025-09-18 05:49:14.748521,23.30,62.80,24.08,67.85
2025-09-18 05:49:17.005509,23.40,63.00,24.08,67.85
2025-09-18 05:49:19.267891,23.40,62.90,24.08,67.85
2025-09-18 05:49:21.524829,23.40,63.30,24.08,67.85
2025-09-18 05:49:23.782151,23.40,62.80,24.08,67.85
2025-09-18 05:49:26.039237,23.40,62.70,24.08,67.85
2025-09-18 05:49:28.296220,23.30,62.80,24.08,67.85
